,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001330,-128810.80526082902,82958.24352659883,0.85,0.15,0.0
cosmx_bcc_xdonor_spot_0000001331,-128820.51776082903,83344.80602659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001332,-128884.70526082903,83678.14352659884,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001333,-128841.70526082903,84105.43102659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001334,-128763.455260829,84390.52130437658,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001335,-128828.33761377019,84798.80235012823,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001337,-128849.28284703594,85569.50214728851,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001338,-128755.09811797188,85961.02924088451,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001339,-128846.16114318196,86262.74352659882,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001445,-128508.42650426466,80330.44606309295,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001446,-128405.59317093133,80729.94606309295,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001447,-128399.25983759799,81108.49368214059,0.1428571428571428,0.0,0.0
cosmx_bcc_xdonor_spot_0000001448,-128473.67650426469,81476.7793964263,0.0,0.75,0.0833333333333333
cosmx_bcc_xdonor_spot_0000001449,-128441.89141654539,81846.30571221579,0.0,0.7894736842105263,0.1052631578947368
cosmx_bcc_xdonor_spot_0000001450,-128495.3265042647,82168.97939642631,0.0666666666666666,0.8666666666666667,0.0
cosmx_bcc_xdonor_spot_0000001451,-128478.6808902296,82579.72676484738,0.5789473684210527,0.3684210526315789,0.0
cosmx_bcc_xdonor_spot_0000001452,-128485.85267947092,82965.86852659882,0.875,0.0625,0.0
cosmx_bcc_xdonor_spot_0000001453,-128465.3629336481,83310.6847030694,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001454,-128429.48344426452,83641.2435265988,0.9285714285714286,0.0714285714285714,0.0
cosmx_bcc_xdonor_spot_0000001455,-128466.76659641977,84110.69590755121,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001456,-128469.5654965326,84404.4935265988,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001457,-128423.8839566906,84821.1435265988,0.9,0.1,0.0
cosmx_bcc_xdonor_spot_0000001458,-128493.64584071365,85255.07685993213,0.6666666666666666,0.3333333333333333,0.0
cosmx_bcc_xdonor_spot_0000001459,-128443.55856216958,85579.891674747,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001460,-128458.63669915748,85925.89737275265,0.9230769230769232,0.0769230769230769,0.0
cosmx_bcc_xdonor_spot_0000001461,-128472.59028515809,86365.6324154877,0.7777777777777778,0.1111111111111111,0.1111111111111111
cosmx_bcc_xdonor_spot_0000001462,-128448.07575217598,86689.5953784507,0.925925925925926,0.037037037037037,0.037037037037037
cosmx_bcc_xdonor_spot_0000001463,-128415.02407375956,86957.4358342911,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001568,-128067.65983759801,80718.5793964263,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001569,-128053.8752222134,81114.93324258014,0.0,0.7692307692307693,0.0
cosmx_bcc_xdonor_spot_0000001570,-128091.63483759803,81459.21689642631,0.0,0.875,0.0625
cosmx_bcc_xdonor_spot_0000001571,-128118.50983759803,81824.52939642631,0.0,0.8125,0.125
cosmx_bcc_xdonor_spot_0000001572,-128105.67650426469,82225.94606309295,0.0,0.75,0.0
cosmx_bcc_xdonor_spot_0000001573,-128120.25983759802,82571.08708873398,0.3076923076923077,0.5384615384615384,0.1538461538461538
cosmx_bcc_xdonor_spot_0000001574,-128089.99113065604,82941.18102659882,0.4375,0.5625,0.0
cosmx_bcc_xdonor_spot_0000001575,-128106.70165697184,83315.79615817778,0.8947368421052632,0.0526315789473684,0.0
cosmx_bcc_xdonor_spot_0000001576,-128129.65779732268,83679.32685993213,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001577,-128099.65779732268,84103.41019326546,0.9166666666666666,0.0833333333333333,0.0
cosmx_bcc_xdonor_spot_0000001578,-128025.49113065601,84398.47079932607,1.0,0.0,0.0
