spot,x,y,tumor_hat
cosmx_bcc_spot_0000024608,-475462.6344985011,74310.96244998457,0.876184311860409
cosmx_bcc_spot_0000024991,-475061.87632395374,66716.02516992854,0.9532780806546692
cosmx_bcc_spot_0000024994,-474989.34875042475,67731.01414051677,0.7872157067955597
cosmx_bcc_spot_0000025006,-475029.7966408108,72240.94131587242,0.5326249812583127
cosmx_bcc_spot_0000025014,-475085.3335935241,75070.24073052761,3.496183604484141e-06
cosmx_bcc_spot_0000025391,-474696.40757395414,65267.21266992853,0.0501550794909889
cosmx_bcc_spot_0000025415,-474722.63029682083,73910.79018107706,0.0524266994878274
cosmx_bcc_spot_0000025797,-474320.1495094376,65996.70863767048,0.969133333172874
cosmx_bcc_spot_0000025809,-474356.32156412664,70332.41718390943,0.8137655652487693
cosmx_bcc_spot_0000026210,-473975.9939779197,69237.28140804736,0.9826680034927008
cosmx_bcc_spot_0000026223,-474000.1003429034,73917.73948983278,0.8359088624332948
cosmx_bcc_spot_0000026604,-473626.7779443242,65638.31915141002,0.9414958718217776
cosmx_bcc_spot_0000027008,-473256.80757395417,65599.9043365952,0.5660755612410239
cosmx_bcc_spot_0000027421,-472866.8097673937,68906.23206594212,1.2629206589633162e-15
cosmx_bcc_spot_0000027426,-472892.41705484287,70700.6227542012,0.9626197438328442
cosmx_bcc_spot_0000027821,-472673.5325739541,67436.0876699285,0.9762813475689882
cosmx_bcc_spot_0000027834,-472584.8273112534,72069.9689080474,0.7715268428230053
cosmx_bcc_spot_0000028237,-472177.19397792005,71753.76890804741,0.5596259216039712
cosmx_bcc_spot_0000028633,-471835.13034155645,68876.05981713832,0.0011467161497361
cosmx_bcc_spot_0000029044,-471423.52029370907,71408.67943436315,0.9999993846607754
cosmx_bcc_spot_0000029446,-471170.54660949897,70707.60048699476,0.9993242628631464
cosmx_bcc_spot_0000040460,-460938.4128423481,-37205.29872404621,0.8205378250879579
cosmx_bcc_spot_0000040870,-460540.78389497974,-35042.90135562515,0.8377459036687072
cosmx_bcc_spot_0000040899,-460511.05904583225,-24453.87101905914,0.1730994472469771
cosmx_bcc_spot_0000041305,-460198.719760118,-23844.513876201996,0.665923719287327
cosmx_bcc_spot_0000042086,-459405.2451952894,-33632.96637110502,0.7917437562473099
cosmx_bcc_spot_0000042481,-459132.19617568125,-36854.98205737956,0.8812870881256377
cosmx_bcc_spot_0000042518,-459151.8902146634,-23467.741148929268,0.9434663388597776
cosmx_bcc_spot_0000042886,-458793.2199852052,-36508.84872404621,0.8478040906662778
cosmx_bcc_spot_0000042917,-458772.79476011795,-25276.363876201995,0.7386894217005762
cosmx_bcc_spot_0000042921,-458766.2578035962,-23836.448658810692,0.9914660829076752
cosmx_bcc_spot_0000043326,-458403.34476011794,-23484.163876201994,0.7968003160187586
cosmx_bcc_spot_0000044129,-457672.54476011795,-25280.113876201995,0.9198658056248252
cosmx_bcc_spot_0000044499,-457309.19617568137,-37445.51539071286,0.936080933662462
cosmx_bcc_spot_0000044510,-457327.802842348,-33663.52872404622,0.6403631373804177
cosmx_bcc_spot_0000044541,-457425.0114267847,-22500.347209535328,0.7410325431909878
cosmx_bcc_spot_0000044914,-456976.93427091953,-33600.753485950976,0.691946581009287
cosmx_bcc_spot_0000045296,-456607.802671331,-41609.664041303,0.9704841268298684
cosmx_bcc_spot_0000045343,-456572.7565248239,-24574.307993849055,0.9021046340553108
cosmx_bcc_spot_0000046105,-455859.90267133096,-41231.58904130299,0.8949680514848581
cosmx_bcc_spot_0000046517,-455539.6722365485,-38333.79991086821,0.8129983450603974
