spot,condition,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000002705,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002706,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002707,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002708,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002709,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002710,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002711,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002712,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002713,Baseline,0.95,0.0,0.0
cosmx_bcc_xdonor_spot_0000002714,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002715,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002716,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002717,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002718,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002719,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002720,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002721,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002722,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002723,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002724,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002725,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002726,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002993,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002994,Baseline,0.8947368421052632,0.0,0.0
cosmx_bcc_xdonor_spot_0000002995,Baseline,0.9375,0.0,0.0625
cosmx_bcc_xdonor_spot_0000002996,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002997,Baseline,0.9545454545454546,0.0,0.0454545454545454
cosmx_bcc_xdonor_spot_0000002998,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002999,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003000,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003001,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003002,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003003,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003004,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003005,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003006,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003007,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003008,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003009,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003010,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003011,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003012,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003013,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003014,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003015,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003016,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003017,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003018,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003019,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003020,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003021,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003022,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003023,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003024,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003025,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003026,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003290,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003291,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003292,Baseline,0.9615384615384616,0.0,0.0
cosmx_bcc_xdonor_spot_0000003293,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003294,Baseline,0.95,0.0,0.05
cosmx_bcc_xdonor_spot_0000003295,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003296,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003297,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003298,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003299,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003300,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003301,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003302,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003303,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003304,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003305,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003306,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003307,Baseline,0.9545454545454546,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000003308,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003309,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003310,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003311,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003312,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003313,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003314,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003315,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003316,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003317,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003318,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003319,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003320,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003321,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003322,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003323,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003324,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003325,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003589,Baseline,0.5833333333333334,0.0,0.0
cosmx_bcc_xdonor_spot_0000003590,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003591,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003592,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003593,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003594,Baseline,0.9444444444444444,0.0,0.0555555555555555
cosmx_bcc_xdonor_spot_0000003595,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003596,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003597,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003598,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003599,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003612,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000003613,Baseline,1.0,0.0,0.0
