,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000971,-438402.0702156022,78154.95662071962,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000972,-438417.13614966813,78522.60680386981,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000973,-438429.6478553537,78943.42452962232,0.8260869565217391,0.1739130434782608,0.0
cosmx_bcc_xdonor_spot_0000000974,-438357.92735845933,79192.19471595774,0.4285714285714285,0.4285714285714285,0.1428571428571428
cosmx_bcc_xdonor_spot_0000000996,-437937.5268486696,24647.62151777441,0.0,0.0714285714285714,0.1428571428571428
cosmx_bcc_xdonor_spot_0000000997,-438014.1852337627,25019.143256904845,0.0434782608695652,0.0,0.0
cosmx_bcc_xdonor_spot_0000000998,-438031.898277241,25398.941517774412,0.56,0.16,0.04
cosmx_bcc_xdonor_spot_0000000999,-438032.83740767575,25765.099778643977,0.0434782608695652,0.5217391304347826,0.2608695652173913
cosmx_bcc_xdonor_spot_0000001000,-438021.2905849333,26134.544594697487,0.5,0.0769230769230769,0.1538461538461538
cosmx_bcc_xdonor_spot_0000001001,-438032.6500013789,26516.345655705445,0.6551724137931034,0.1724137931034483,0.1379310344827586
cosmx_bcc_xdonor_spot_0000001002,-437994.6200163714,26908.317169948325,0.0434782608695652,0.391304347826087,0.1304347826086956
cosmx_bcc_xdonor_spot_0000001003,-438017.46669829363,27304.832044090203,0.8947368421052632,0.0,0.0
cosmx_bcc_xdonor_spot_0000001004,-438043.160777241,27677.809017774412,0.5,0.125,0.375
cosmx_bcc_xdonor_spot_0000001005,-438030.285777241,27998.809017774412,0.0625,0.375,0.1875
cosmx_bcc_xdonor_spot_0000001006,-438055.86750801024,28416.698440851334,0.0,0.0,0.2307692307692307
cosmx_bcc_xdonor_spot_0000001007,-438045.3129824356,28792.01128207044,0.0,0.3333333333333333,0.0
cosmx_bcc_xdonor_spot_0000001008,-437981.02507370943,29160.526824417495,0.0,0.2941176470588235,0.0588235294117647
cosmx_bcc_xdonor_spot_0000001009,-438029.6808471297,29571.99305535432,0.7777777777777778,0.1851851851851851,0.037037037037037
cosmx_bcc_xdonor_spot_0000001010,-437991.82899527793,29947.852314613574,0.8666666666666667,0.0,0.0
