spot,x,y,tumor_hat
cosmx_bcc_spot_0000004695,-493151.6054473546,31917.454615733266,0.5687698018974514
cosmx_bcc_spot_0000004696,-493165.71894795203,32301.49404225657,0.4935764767442858
cosmx_bcc_spot_0000004697,-493160.6636484125,32665.676837955503,0.9430711511028934
cosmx_bcc_spot_0000004698,-493152.1375160084,33022.473585922984,0.9855030996453467
cosmx_bcc_spot_0000004699,-493172.185076984,33390.31017128883,0.9827431413887989
cosmx_bcc_spot_0000004700,-493195.1010303879,33758.391067109136,0.9999822422261893
cosmx_bcc_spot_0000004701,-493238.19440583384,34112.07107565482,0.9909045269394879
cosmx_bcc_spot_0000004702,-493224.2911800274,34476.20010791289,0.9820081159104854
cosmx_bcc_spot_0000004703,-493206.8247821778,34855.72430146128,0.9558521737599086
cosmx_bcc_spot_0000004704,-493203.8967518747,35182.201574188555,0.7727629082321672
cosmx_bcc_spot_0000004705,-493234.6731155112,35566.81430146128,0.9389021836524651
cosmx_bcc_spot_0000004706,-493209.233115511,35927.624301461285,0.9833884393747109
cosmx_bcc_spot_0000004707,-493209.6418111633,36292.75691015693,0.9994190855341233
cosmx_bcc_spot_0000004708,-493245.933115511,36606.97430146129,0.9715229523737141
cosmx_bcc_spot_0000004710,-493256.4616869395,37384.54573003273,0.45286235326399715
cosmx_bcc_spot_0000004711,-493254.74740122526,37788.68858717558,4.457712715493265e-09
cosmx_bcc_spot_0000004712,-493206.8664488443,38005.9743014613,3.842018934723734e-14
cosmx_bcc_spot_0000004792,-493149.65914728603,67144.75343489183,0.36265795862137323
cosmx_bcc_spot_0000004793,-493122.3400996668,67431.11533965374,0.08658266252662893
cosmx_bcc_spot_0000004794,-493135.4035917305,67786.24232378071,3.366440000620072e-07
cosmx_bcc_spot_0000004795,-493146.8877187145,68166.13914917754,0.1734291829517913
cosmx_bcc_spot_0000004796,-493126.4328314964,68524.14290857606,0.6552621866606507
cosmx_bcc_spot_0000004797,-493269.0360703629,68907.04574258415,0.8598505874703206
cosmx_bcc_spot_0000004798,-493224.91748061916,69235.77010155852,0.9999999771834981
cosmx_bcc_spot_0000004799,-493172.3915797182,69607.29938083782,0.9850387284645263
cosmx_bcc_spot_0000004800,-493131.9591472858,69971.25343489186,0.984747078477489
cosmx_bcc_spot_0000004801,-493062.7591472859,70313.2201015585,0.9999999997892157
cosmx_bcc_spot_0000004802,-493251.05914728605,70793.25343489183,0.8422094418187315
cosmx_bcc_spot_0000004803,-493242.5305758575,70959.06772060612,0.9656995261778243
cosmx_bcc_spot_0000005094,-492757.985076984,30228.0101712888,0.15520217718508794
cosmx_bcc_spot_0000005095,-492815.44936269853,30503.79588557453,0.4986363925747619
cosmx_bcc_spot_0000005096,-492808.7467048909,30858.010171288835,0.718993546127632
cosmx_bcc_spot_0000005097,-492821.2838574718,31205.57114689859,0.8936248432100692
cosmx_bcc_spot_0000005098,-492811.3779341271,31588.47445700311,0.9294047120012662
cosmx_bcc_spot_0000005099,-492824.51285476197,31941.065726844387,0.9616093784518916
cosmx_bcc_spot_0000005100,-492822.0245506683,32298.51017128883,0.9867767311431509
cosmx_bcc_spot_0000005101,-492815.3161580652,32661.14530642397,0.9884110150752156
cosmx_bcc_spot_0000005102,-492820.885076984,33024.610171288834,0.9925442964948217
cosmx_bcc_spot_0000005103,-492814.2350769843,33373.17683795549,0.9966522520598942
cosmx_bcc_spot_0000005104,-492817.2850769842,33694.21017128881,0.999119652154938
cosmx_bcc_spot_0000005196,-492838.84150022705,67092.58872900948,0.12380773725523532
cosmx_bcc_spot_0000005197,-492767.20914728584,67435.97843489185,0.5094872283794992
cosmx_bcc_spot_0000005198,-492789.9591472858,67794.40343489186,0.8407606780718733
cosmx_bcc_spot_0000005199,-492788.35388412786,68163.48501383925,0.952493385244584
cosmx_bcc_spot_0000005200,-492800.6258139524,68517.89189643034,0.967733078141928
cosmx_bcc_spot_0000005201,-492785.84803617495,68833.6867682252,0.9960855805601142
cosmx_bcc_spot_0000005202,-492737.32278364967,69307.44434398273,0.9045002533115057
cosmx_bcc_spot_0000005203,-492800.4924806191,69601.62010155852,0.981856209205695
cosmx_bcc_spot_0000005204,-492825.76683959353,69947.73805027647,0.970320889852118
cosmx_bcc_spot_0000005205,-492836.22001685103,70321.22300010924,0.9814481330317554
cosmx_bcc_spot_0000005206,-492719.7924806194,70701.68676822515,0.9761720700841076
cosmx_bcc_spot_0000005498,-492474.14416789316,30210.555625834255,0.017098139414886214
cosmx_bcc_spot_0000005499,-492487.6636484128,30485.153028431658,0.315907298730701
cosmx_bcc_spot_0000005500,-492476.8779341271,30855.15302843168,0.7016472093592765
cosmx_bcc_spot_0000005501,-492470.63507698424,31220.710171288825,0.831287367480693
cosmx_bcc_spot_0000005502,-492474.00174365094,31597.47683795549,0.909363812040127
cosmx_bcc_spot_0000005503,-492472.19159872335,31945.271040854033,0.9304296334130927
cosmx_bcc_spot_0000005504,-492477.9538269843,32315.447671288828,0.979416687660876
cosmx_bcc_spot_0000005505,-492470.4931415004,32666.97791322431,0.9794757448973838
cosmx_bcc_spot_0000005506,-492463.9950769842,33030.33017128882,0.9992793826536402
cosmx_bcc_spot_0000005507,-492461.95507698425,33381.25017128882,0.9996699585286211
cosmx_bcc_spot_0000005508,-492476.46584621485,33675.240940519565,0.9850606775713242
cosmx_bcc_spot_0000005600,-492452.70914728596,67067.27010155849,0.284645615176058
cosmx_bcc_spot_0000005601,-492450.8549806191,67458.91593489189,0.8762489789921876
cosmx_bcc_spot_0000005602,-492435.59849154804,67800.56654964598,0.981555554097589
cosmx_bcc_spot_0000005603,-492431.20239052904,68143.27235381078,0.9955648240910806
cosmx_bcc_spot_0000005604,-492458.3915797182,68527.56965110809,0.9645528075213656
cosmx_bcc_spot_0000005605,-492449.1170420226,68875.66922436556,0.9971179110377179
cosmx_bcc_spot_0000005606,-492474.080359407,69235.7776773161,0.9761042717723413
cosmx_bcc_spot_0000005607,-492458.34150022693,69598.38284665658,0.958376279605537
cosmx_bcc_spot_0000005608,-492443.0216472858,69964.75968489186,0.9619561726428827
cosmx_bcc_spot_0000005609,-492443.6778972858,70338.69718489186,0.9952427518330201
cosmx_bcc_spot_0000005610,-492452.6664643589,70710.76806903823,0.9917007638876821
cosmx_bcc_spot_0000005611,-492457.0500563769,70925.44434398274,0.9979148766888923
cosmx_bcc_spot_0000006004,-492053.7739621006,67099.87195341039,0.5938696773907647
cosmx_bcc_spot_0000006005,-492057.8639091905,67444.28200632044,0.9011521175478135
