,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000065405,1.8065095967422643e-15,0.3129597018439359,0.05653392313932451,0.5789380749262671,1.0569857309753128e-09,1.8065095967422643e-15,1.6006248886220287e-05,0.042279777459182856,0.009272513312082693,1.8065095967422643e-15,2.0133296120959316e-09
cosmx_bcc_spot_0000065683,0.10498341866142546,1.0643033565397624e-11,0.09854641725471204,1.9819860664950756e-15,0.37634547999958,0.2689582002584512,0.07425304409335698,0.04525576257081402,1.9819860664950756e-15,0.03161180414800697,4.587300300615363e-05
cosmx_bcc_spot_0000065689,0.00010854675810500592,1.827670645856671e-15,0.5730486645484918,1.827670645856671e-15,0.04108104322749882,0.3022228282392152,0.024546801520045132,0.010814026400140984,1.827670645856671e-15,0.04817808930622663,2.709405176992726e-13
cosmx_bcc_spot_0000065697,0.0025429276020352285,0.25971767208239066,0.03861776469659043,2.0548800577761754e-15,0.1790776829451805,0.17190525376480983,0.005644224475265361,0.296946757167795,3.3584738822394726e-09,0.04549075358712436,5.69603203327254e-05
cosmx_bcc_spot_0000065700,9.786290117596171e-15,0.7922513849685796,2.80300239483641e-08,0.07215184489807705,3.1325299802780354e-07,2.9265585361966836e-13,0.003969691466191625,0.07387279211304527,0.032068541861702125,0.025685403263449678,1.4563017009737182e-10
cosmx_bcc_spot_0000065738,0.0017575036089047663,1.900428798595496e-15,0.010629585679185993,1.900428798595496e-15,0.36913106650580296,1.900428798595496e-15,0.025561841965645198,0.5724993274026742,1.2767991712912506e-08,0.020420336874790092,3.2519499963412734e-07
cosmx_bcc_spot_0000065801,1.6825901982357873e-15,0.23279412259698354,0.2972441629234462,0.33156074057767654,0.03612845246338137,2.524942641329614e-11,1.9910001818359252e-10,0.0889304125545001,0.013342108659657428,1.6825901982357873e-15,1.6825901982357873e-15
cosmx_bcc_spot_0000066101,5.675710504873027e-08,0.6488102122166939,0.002243837480371415,1.9330855999880953e-15,6.612097911877195e-06,0.09593946011081467,0.010889809643738247,0.2062835688795427,0.003481220348643766,0.03234521591837662,6.54679981204037e-09
cosmx_bcc_spot_0000066102,4.42058014331225e-08,0.7549048377909463,5.984853042511019e-07,4.347497428786571e-07,0.12507762430377456,0.011365986332085866,0.0018441871157687804,0.07613908819892769,0.0007737949702141712,0.025102300545073238,0.004791103302360695
cosmx_bcc_spot_0000066103,1.8678033541395502e-08,0.8544918047843034,3.9423124934620364e-13,1.8063570328979387e-15,9.555762022751895e-06,0.06682107621913158,0.0007960552516409921,0.053405888666699534,1.8063570328979387e-15,0.024475600632725202,5.04510670186871e-12
cosmx_bcc_spot_0000066117,1.6333045940730053e-15,0.9395091504509586,2.4007269675298565e-14,1.6333045940730053e-15,3.144330071982117e-15,1.6333045940730053e-15,1.6333045940730053e-15,0.03365993643965435,0.017703339688503517,0.00912757342084823,1.6333045940730053e-15
cosmx_bcc_spot_0000066122,1.00403885595707e-09,1.6420177257435578e-15,8.412310626885587e-13,0.4821111492299695,0.0002507586130812358,0.5136479387494866,5.616911889067511e-13,1.9840451993376072e-14,2.3515289395051415e-14,0.003990152401974279,1.6420177257435578e-15
cosmx_bcc_spot_0000066136,1.717366822046461e-11,4.462350932126004e-10,1.029239240712183e-08,2.083583473498407e-15,0.1761050023632502,2.083583473498407e-15,2.777673125883286e-09,0.7999469198640796,2.083583473498407e-15,0.02394806408137952,1.5780995819008301e-10
cosmx_bcc_spot_0000066245,2.357615105108422e-08,4.6232146475332136e-11,3.108641693609126e-07,1.9215661405842687e-15,0.050366383390316356,1.9215661405842687e-15,0.09283149330400792,0.717133388238482,1.7079548516532616e-14,0.06842456217371407,0.07124383840690622
cosmx_bcc_spot_0000066510,1.7434931691525108e-15,0.5672006005837582,1.7434931691525108e-15,0.3794415014511945,1.7434931691525108e-15,1.7434931691525108e-15,5.581295121604041e-07,0.024912572750247584,1.7434931691525108e-15,0.02844476708527704,1.7434931691525108e-15
cosmx_bcc_spot_0000066522,1.690533938360674e-15,0.970811226479935,3.125936983721905e-15,1.690533938360674e-15,5.211577277658015e-11,1.690533938360674e-15,1.690533938360674e-15,0.008509603919736916,0.009633222895411358,0.011045946652789343,1.690533938360674e-15
cosmx_bcc_spot_0000066523,3.327047299302045e-08,0.7692467527133104,0.04511925178115016,0.09865299629823557,0.0011519033272914007,0.02066655449732966,1.8143915381050784e-15,1.8208472473761987e-09,0.05606368203268474,0.009098818113110356,6.145565496466908e-09
cosmx_bcc_spot_0000066524,1.7724905721099543e-15,0.9798452629128799,6.725466023576659e-14,1.7724905721099543e-15,5.370147157423918e-07,1.7724905721099543e-15,8.762332762567312e-07,0.006246322417477172,4.495348396539719e-05,0.013862047937611064,1.7724905721099543e-15
cosmx_bcc_spot_0000066611,1.8527849223896088e-15,0.7919351682513828,1.1652043551090494e-08,2.6302436107716583e-15,0.16136672843810373,1.8527849223896088e-15,1.8527849223896088e-15,0.036932080310232436,0.00976601134822536,1.8527849223896088e-15,1.8527849223896088e-15
cosmx_bcc_spot_0000066618,1.6538226224347335e-10,1.782574740331436e-15,8.910306291212926e-08,0.8457035719605344,0.03540883885303564,0.11888749990868992,9.031383806259541e-12,1.782574740331436e-15,2.5637948905354815e-13,1.782574740331436e-15,1.782574740331436e-15
cosmx_bcc_spot_0000066934,1.8285096375203414e-15,0.8464957707072452,8.950398605073873e-10,1.28849773739045e-08,0.13880965444793522,1.8285096375203414e-15,7.583050468967467e-06,6.665142796717515e-14,0.005631099593170303,0.009055878421090567,1.8285096375203414e-15
cosmx_bcc_spot_0000066941,0.017128572351695546,3.785083795564604e-13,0.23019601405175535,0.322485659161188,0.38460316814442574,1.1337053279803332e-11,0.0015698848118154108,0.022117255925409994,3.820616358508617e-05,0.021860710026410813,5.293519982792983e-07
cosmx_bcc_spot_0000066945,4.218474435817261e-06,0.6162815966620626,4.555826278038409e-08,0.021044789637195558,0.21132148173456525,1.7137336667023836e-10,1.9167881104357227e-15,0.1279174098065489,2.5510023862118917e-12,0.021951908544903538,0.0014785494080993312
