,Bcell,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Neutrophil,Normal.Kerat,Pericyte,PlasmaCell,Tcell
cosmx_bcc_spot_0000047373,1.861817859290415e-15,0.8552898212017517,1.1250285620801838e-06,1.8206405352871417e-12,0.12447949352934118,1.861817859290415e-15,0.005680553384403821,0.012059962612861307,0.002489044241251747,1.861817859290415e-15,1.861817859290415e-15
cosmx_bcc_spot_0000047374,1.894603466546646e-15,0.9575149431607424,1.7981633954082756e-14,1.894603466546646e-15,0.04048581547405832,1.894603466546646e-15,0.001993412982635278,1.894603466546646e-15,4.4371945968965965e-15,5.828382531698624e-06,1.894603466546646e-15
cosmx_bcc_spot_0000047375,1.9088894791215973e-15,0.910618337839948,1.9777210436746048e-12,1.9088894791215973e-15,0.08476750956453169,1.9088894791215973e-15,0.004614152593528935,1.9088894791215973e-15,1.9088894791215973e-15,1.9088894791215973e-15,1.9088894791215973e-15
cosmx_bcc_spot_0000047720,0.011603807326860272,0.33604138259994926,0.13671638349461643,0.049508441554239405,0.46207248831715025,1.0413869050888068e-10,0.0028479762497404418,0.001208074718546962,1.2826031137213715e-07,1.95228164005589e-15,1.3173744449320013e-06
cosmx_bcc_spot_0000047721,1.2211441197402356e-09,0.6895576938214455,0.012485903181168134,0.04657878019812096,0.23159272768942502,2.012824029615996e-15,0.019784893853320478,2.012824029615996e-15,3.531129412473356e-11,2.012824029615996e-15,5.820038729826975e-14
cosmx_bcc_spot_0000047722,7.781303440068089e-11,0.4810524261340028,2.530603331784906e-05,4.6085084793450786e-14,0.48699847465179685,1.986132739131318e-15,0.02989040256371794,0.002031481059919055,1.9094792489118185e-06,1.986132739131318e-15,1.33502248071223e-13
cosmx_bcc_spot_0000047723,8.997823284691757e-08,0.6124577788186868,0.03511884202969476,9.078391588980341e-05,0.3345827361575815,2.0503139666503006e-15,0.015450463681670575,0.0022985966043023243,7.0731046966681e-07,2.0503139666503006e-15,1.5034675170877563e-09
cosmx_bcc_spot_0000047724,0.0008947013128296331,0.3803356861610361,0.0698725219778283,0.1571044340849479,0.3799865826348669,5.868598740834004e-13,0.0062240539172628995,0.0030364219337771082,2.427685700410261e-07,0.0025453493777198807,5.830574384726656e-09
cosmx_bcc_spot_0000047725,0.10737644766115509,0.365018133572738,0.3533789495017522,0.012986975450123879,0.052472396268036174,0.017265643769681427,0.012758328428647136,1.97205676385764e-15,0.00911250107881043,4.739928340685422e-13,0.06963062426857977
cosmx_bcc_spot_0000047726,2.716171823157396e-06,0.28603851321636525,0.08362860709886696,0.2435231658699994,0.36356502063123325,1.9559481935376464e-15,0.008781151607691585,0.004456381965642782,0.010004443434112036,1.9559481935376464e-15,4.261604298300452e-12
