,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000002109,-191234.38483966194,-40677.77345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002110,-191228.88483966194,-40295.32345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002111,-191237.52372855082,-39956.17901507757,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002112,-191241.63483966194,-39594.873459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002113,-191231.8431729953,-39242.12345952202,0.9583333333333334,0.0416666666666666,0.0
cosmx_bcc_xdonor_spot_0000002114,-191243.09136140108,-38896.03650300028,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002115,-191241.9769449251,-38551.4392489957,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002116,-191265.87397009673,-38166.21041604376,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002117,-191225.87236836684,-37835.57300686389,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002118,-191211.18941643095,-37500.22182934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002119,-191253.06441643095,-37151.03432934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002120,-191313.75759824915,-36789.341147531326,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002122,-191186.93941643095,-36065.65932934951,0.875,0.0625,0.0625
cosmx_bcc_xdonor_spot_0000002123,-191222.33941643094,-35732.95932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002124,-191296.6060830976,-35360.881551571736,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002125,-191251.82830531982,-35037.5482182384,0.9444444444444444,0.0,0.0
cosmx_bcc_xdonor_spot_0000002126,-191237.98703547855,-34662.58790077808,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002127,-191240.97941643093,-34301.47932934952,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002128,-191226.89941643094,-33944.23932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002404,-190876.13483966194,-42088.29993011025,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002405,-190902.95302148015,-41774.12345952201,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002406,-190879.42650632863,-41380.29012618869,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002407,-190874.09483966196,-41025.44345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002408,-190875.4826657489,-40670.25389430463,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002409,-190877.6611554514,-40319.544512153596,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002410,-190875.374839662,-39973.76345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002411,-190836.86817299528,-39611.45679285535,0.7333333333333333,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000002412,-190883.78000095236,-39260.38152403813,0.4193548387096774,0.032258064516129,0.0
cosmx_bcc_xdonor_spot_0000002413,-190892.48483966192,-38900.02345952202,0.7,0.0,0.0
cosmx_bcc_xdonor_spot_0000002414,-190881.63483966194,-38579.810959522016,0.9375,0.0,0.0625
cosmx_bcc_xdonor_spot_0000002415,-190809.4681729953,-38166.19012618868,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002416,-190866.89471772156,-37849.71289213687,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002417,-190857.18941643098,-37536.90932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002418,-190841.47274976427,-37122.35932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002419,-190833.10608309763,-36753.65932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002420,-190867.58647525447,-36370.45344699657,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002421,-190864.5757800673,-36093.15932934952,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002422,-190858.93941643092,-35727.42019891473,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002423,-190839.55480104635,-35337.39009858028,0.8461538461538461,0.0769230769230769,0.0769230769230769
