,CAF,CAM,Cortex_CCL21,Fibroblasts,Germinal_Center_Plasma_IgM_B_cell,High_Endothelial_Venules,M1_macrophages,Macrophages,Plasma_IgA,Plasma_IgG,T_cell,Tumor,Tumor_Keratin_Pearl
openst_spot_00006525,5.406157201224794e-05,0.2846458235856424,6.055153349386908e-14,2.1601373314464017e-12,1.5581366159947965e-15,1.5581366159947965e-15,1.5581366159947965e-15,1.5581366159947965e-15,0.005829565439875392,0.0019644797466895686,1.5581366159947965e-15,0.7075060696535503,1.5581366159947965e-15
openst_spot_00006544,1.6454655828275444e-15,1.388486334159067e-14,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,1.6454655828275444e-15,0.9203862010294644,0.07961379897050523
openst_spot_00006636,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15,0.9999999999999857,1.1898385845165626e-15,1.1898385845165626e-15,1.1898385845165626e-15
openst_spot_00006698,0.2988192898642183,1.4562610353434441e-15,1.4562610353434441e-15,7.737715696453038e-10,1.4562610353434441e-15,1.4562610353434441e-15,1.4562610353434441e-15,1.4562610353434441e-15,1.4562610353434441e-15,0.61461906221442,1.4562610353434441e-15,0.08651734439906328,4.430274851527953e-05
openst_spot_00006699,0.0923900909301585,3.1556798049822495e-15,0.011282512704773866,0.01583898550839577,1.3294303327695905e-12,1.1213158948204681e-06,8.669982135208373e-07,7.186656813016759e-13,5.406175994648346e-10,0.16670381745611862,6.250403320099689e-11,0.7088241492408834,0.00495845524038857
openst_spot_00006791,0.028842130285832615,1.0636124090238208e-10,1.8302308810982186e-15,0.021994834159882754,2.1850368525183997e-08,1.961748375327666e-09,4.450732778803742e-05,8.091296930494099e-09,1.8302308810982186e-15,1.8302308810982186e-15,7.444221433612322e-05,0.9488299644776512,0.00021408952472865884
openst_spot_00006884,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,1.8433270834690352e-15,0.007388727111715622,4.408908515758586e-14,0.7886656315131675,0.2039456413750562
openst_spot_00006895,0.016175689822795113,0.04606945719431479,0.007095539107525107,1.934709678743614e-09,1.6125290393090257e-15,6.049974824009998e-12,2.6595712382864324e-09,6.889442349957154e-10,1.6125290393090257e-15,5.771308409800211e-08,1.9070090438337585e-12,0.9306592508673951,3.70037301671525e-12
openst_spot_00007183,4.3262570216692135e-05,1.3504636221282635e-11,0.00014903311792059546,0.01704655590806002,4.741636048499444e-12,0.000145162829046264,7.143780488445747e-07,0.0006800441133914206,1.7970326286366502e-15,0.021288229625511218,0.005847332023518217,0.9547996630037967,2.4122420467462348e-09
openst_spot_00007190,0.01166968906570048,0.1878235441763421,1.8470618039776234e-15,4.2269356736719466e-07,1.5776996996802687e-10,2.096806772740232e-08,1.836092355242068e-06,0.0022396578317151884,0.021947400813017593,0.039620009324187466,5.243167286072077e-09,0.7320432164477269,0.004654197186380754
openst_spot_00007354,0.10913161725000071,2.2984085187128765e-15,1.763958835243905e-15,3.2512180940316067e-06,1.763958835243905e-15,1.763958835243905e-15,1.763958835243905e-15,1.763958835243905e-15,1.763958835243905e-15,2.0650781482407686e-14,1.763958835243905e-15,0.8908651315318682,1.763958835243905e-15
