,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000065832,1.5106776198778608e-15,1.5020857234068602e-07,0.8342009805422728,1.5106776198778608e-15,0.16579510711917447,1.5106776198778608e-15,3.762129974394824e-06,1.5106776198778608e-15
cosmx_bcc_xdonor_spot_0000065833,1.4710874587389414e-15,1.4710874587389414e-15,0.8742961168024151,1.4710874587389414e-15,0.1257038831975758,1.4710874587389414e-15,1.4710874587389414e-15,1.4710874587389414e-15
cosmx_bcc_xdonor_spot_0000065834,1.3333388068308863e-05,2.3408400150792646e-06,0.48817927120003113,4.84535880056892e-09,0.4702205115608639,0.016170976786776408,0.02541356137888428,1.9997392144465014e-15
cosmx_bcc_xdonor_spot_0000065835,1.6520971019479728e-15,1.6520971019479728e-15,0.7423242502451083,0.006819200802016959,0.17752505331625376,1.121814495491674e-14,0.07333149563660475,1.6520971019479728e-15
cosmx_bcc_xdonor_spot_0000065836,1.3977172431791458e-15,1.3977172431791458e-15,0.7914395596126204,1.3977172431791458e-15,5.891612157215899e-11,4.7680658956607446e-07,0.20855996352186837,1.3977172431791458e-15
cosmx_bcc_xdonor_spot_0000065837,0.1691289748459491,1.1986489833473008e-15,0.1246485260745707,1.1986489833473008e-15,6.153128903213623e-11,0.7062224990179441,1.1986489833473008e-15,1.1986489833473008e-15
cosmx_bcc_xdonor_spot_0000065838,0.11913338350582325,1.0440820943370772e-15,1.0440820943370772e-15,1.0440820943370772e-15,1.0440820943370772e-15,0.8808666164941704,1.0440820943370772e-15,1.0440820943370772e-15
cosmx_bcc_xdonor_spot_0000065839,0.9999999999999878,1.697790801870761e-15,1.697790801870761e-15,1.697790801870761e-15,1.697790801870761e-15,1.697790801870761e-15,1.697790801870761e-15,1.697790801870761e-15
cosmx_bcc_xdonor_spot_0000065840,0.999999999999988,1.681756147931563e-15,1.681756147931563e-15,1.681756147931563e-15,1.681756147931563e-15,1.681756147931563e-15,1.681756147931563e-15,1.681756147931563e-15
cosmx_bcc_xdonor_spot_0000065841,0.9999999999998411,1.7427416655451903e-15,1.4817679543079445e-13,1.7427416655451903e-15,1.7427416655451903e-15,1.7427416655451903e-15,1.7427416655451903e-15,1.7427416655451903e-15
cosmx_bcc_xdonor_spot_0000065842,0.9999999999999875,1.7444010625023657e-15,1.7444010625023657e-15,1.7444010625023657e-15,1.7444010625023657e-15,1.7444010625023657e-15,1.7444010625023657e-15,1.7444010625023657e-15
cosmx_bcc_xdonor_spot_0000065843,0.999268180576903,1.7193018839108107e-15,1.7193018839108107e-15,1.7193018839108107e-15,1.7193018839108107e-15,1.7193018839108107e-15,1.7193018839108107e-15,0.0007318194230863463
cosmx_bcc_xdonor_spot_0000065902,7.612183113081681e-16,7.612183113081681e-16,7.612183113081681e-16,7.612183113081681e-16,7.612183113081681e-16,0.9999999999999948,7.612183113081681e-16,7.612183113081681e-16
cosmx_bcc_xdonor_spot_0000065903,0.027771652242735607,1.014556095395133e-15,1.014556095395133e-15,1.014556095395133e-15,1.014556095395133e-15,0.9722283477572583,1.014556095395133e-15,1.014556095395133e-15
cosmx_bcc_xdonor_spot_0000065904,0.30632169936476505,1.2456716376368783e-15,1.2456716376368783e-15,1.2456716376368783e-15,0.05458951520745894,0.6390887854277698,1.2456716376368783e-15,1.2456716376368783e-15
